"id","cluster_C1","cluster_C2_original","cluster_C2","changed_cluster","silhouette_C1","silhouette_C2"
561,4,4,4,FALSE,0.682378386415911,0.520845253198348
562,6,6,6,FALSE,0.40206883625604,0.185164740085423
563,5,5,5,FALSE,0.688453453083878,0.643443136144024
564,2,2,2,FALSE,0.570622396300783,0.541620593086586
565,5,5,5,FALSE,0.552470105837914,0.497496530156286
566,2,2,2,FALSE,0.692330628192611,0.639682857425591
567,4,4,4,FALSE,0.604108082051078,0.484300881454921
568,5,5,5,FALSE,0.712279796206189,0.654893567104502
569,2,2,2,FALSE,0.744273913786113,0.701566507297624
570,2,2,2,FALSE,0.747411544755652,0.692915546351408
571,5,5,5,FALSE,0.644133800304299,0.561503445681342
572,2,2,2,FALSE,0.766228282673623,0.716857263649522
573,5,5,5,FALSE,0.784585865768503,0.719413820042446
574,5,5,5,FALSE,0.556545965478755,0.51292421574859
575,5,5,5,FALSE,0.556126987650715,0.507879450757087
576,5,5,5,FALSE,0.785427360701724,0.714108980059212
577,3,3,3,FALSE,0.576430256632573,0.328513809334219
578,2,2,2,FALSE,0.750567146830482,0.667575227389472
579,5,5,5,FALSE,0.659874598180529,0.594941024808597
580,3,3,3,FALSE,0.578037359573674,0.474266527982466
581,2,2,2,FALSE,0.685489565359909,0.645109447134831
582,2,2,2,FALSE,0.772293841468124,0.706890615524567
583,2,2,2,FALSE,0.765238931818842,0.688218560921385
584,2,2,2,FALSE,0.763666843718315,0.638957316769124
585,2,2,2,FALSE,0.648159229293751,0.548264013662432
586,2,2,2,FALSE,0.745094389240751,0.671173760897389
587,5,5,5,FALSE,0.742716052130508,0.636306547915923
588,3,3,3,FALSE,0.563056128054506,0.28691554920406
589,5,5,5,FALSE,0.656256364619094,0.568423976745445
590,2,2,2,FALSE,0.773058949734152,0.729178094234971
591,2,2,2,FALSE,0.681771433301595,0.615449886844655
592,2,2,2,FALSE,0.661129600025977,0.577571301977618
593,2,2,2,FALSE,0.762154206094893,0.720187454163079
594,2,2,2,FALSE,0.658179802715628,0.568930031567737
595,3,3,3,FALSE,0.576208029503811,0.451102009073056
596,9,9,9,FALSE,-0.0109312722100053,0.223778384000288
597,2,2,2,FALSE,0.730952284748048,0.444638625991423
598,5,5,5,FALSE,0.764760551746559,0.575129436716788
599,2,2,2,FALSE,0.744377569156605,0.655591572285174
600,2,2,2,FALSE,0.760927807403312,0.69099672647657
601,2,2,2,FALSE,0.67073525403838,0.62645616927895
602,3,3,3,FALSE,0.0213449828900619,0.0338644076429798
603,2,2,2,FALSE,0.660970117529814,0.575201032118751
604,5,5,5,FALSE,0.768555718737834,0.647103067721095
605,9,9,9,FALSE,0.128153709264918,0.225614821037147
606,3,3,3,FALSE,0.114938516566364,0.158296068828076
607,3,3,3,FALSE,0.113207899333433,0.15527172425162
608,7,7,7,FALSE,0.132094968153798,0.0816224303406494
609,2,2,2,FALSE,0.723805751265673,0.597635050318524
610,9,6,6,TRUE,0.199278173926067,0.0312766551002956
611,3,3,3,FALSE,0.500373059952445,0.498236020728524
612,3,3,3,FALSE,0.163233012688447,0.245661221522813
613,3,3,3,FALSE,0.477996403153083,0.395722783276256
614,5,5,5,FALSE,0.791621530560713,0.727053545974848
615,10,10,10,FALSE,0.278791830123328,0.308065596054331
616,10,10,10,FALSE,0.126922529953122,0.149549722871702
617,10,10,10,FALSE,0.0396749337172974,0.0644669907929977
618,7,7,7,FALSE,0.73583093302309,0.683546109496786
619,2,2,2,FALSE,0.770759836687494,0.709558640856809
620,2,2,2,FALSE,0.763690265348773,0.72057560093549
621,4,4,4,FALSE,0.47595706173666,0.343771342999685
622,4,4,4,FALSE,0.70065961872578,0.577331412955855
623,8,8,8,FALSE,0.668010004267907,0.596010896361889
624,6,6,6,FALSE,0.223649885204852,0.00922266713366166
625,6,6,6,FALSE,0.258148740668566,0.0284961660071451
626,2,2,2,FALSE,-0.031128442803776,-0.0446906138056779
627,5,5,5,FALSE,0.790516194306972,0.717276377104375
628,5,5,5,FALSE,0.78860733241837,0.728692016478913
629,2,2,2,FALSE,0.652799293446864,0.577565903937594
630,4,4,4,FALSE,0.730371897847277,0.587456566372487
631,2,2,2,FALSE,0.678297073914608,0.634519582056019
632,11,11,11,FALSE,0.385737381965439,0.362904751459931
633,8,8,8,FALSE,0.75773447632968,0.706918696739221
634,11,11,11,FALSE,0.361929673901907,0.385768565604182
635,8,8,8,FALSE,0.638425962158452,0.579205773227589
636,8,8,8,FALSE,0.723442172267842,0.669436352180014
637,5,5,5,FALSE,0.556305775683024,0.516105776223537
638,8,8,8,FALSE,0.744111341608484,0.697131874123689
639,5,5,5,FALSE,0.649199674469899,0.573946347454545
640,2,2,2,FALSE,0.695330475972963,0.634580675146641
641,4,4,4,FALSE,0.449925017091721,0.349064104842108
642,2,2,2,FALSE,0.771982625477351,0.659588949541631
643,4,4,4,FALSE,0.714053768280445,0.570387581070314
644,2,2,2,FALSE,0.422080367342996,0.402960824608674
645,5,5,5,FALSE,0.60987862324584,0.542139382372317
646,5,5,5,FALSE,0.73587684608657,0.657447612468423
647,5,5,5,FALSE,0.782188505000862,0.686592583664272
648,12,12,12,FALSE,0.53874864500567,0.501504649741827
649,12,12,12,FALSE,0.191762947300317,0.175728733011098
650,8,8,8,FALSE,0.616102507812571,0.571519133950392
651,12,12,12,FALSE,0.535388973205838,0.494654431364657
652,4,4,4,FALSE,0.707656698309645,0.580094591660851
653,4,4,4,FALSE,0.470035753586966,0.362079603740083
654,4,4,4,FALSE,0.712818066852619,0.577632552581854
655,12,12,12,FALSE,0.529548233862718,0.480896865598238
656,4,4,4,FALSE,0.719880178238238,0.53302893144723
657,4,4,4,FALSE,0.726469319471236,0.577409949138163
658,12,12,12,FALSE,0.524378664790333,0.476353619082856
659,4,4,4,FALSE,0.676723807090311,0.52836321624481
660,5,5,5,FALSE,0.787913654975414,0.721259778762835
661,12,12,12,FALSE,-0.0167483688317309,-0.0773476248936171
662,11,5,5,TRUE,-0.111703093896113,0.0301214927446758
663,2,2,2,FALSE,0.730839914053664,0.680322907059982
664,2,2,2,FALSE,0.764748266835918,0.643658036536827
665,2,2,2,FALSE,0.66795538008288,0.581374837071133
666,4,4,4,FALSE,0.717909464292251,0.543449289236243
667,12,12,12,FALSE,0.549733605008184,0.507837676528448
668,5,11,11,TRUE,-0.0252797384840649,-0.116333783641707
669,4,4,4,FALSE,0.598226322381436,0.463022541665954
670,8,8,8,FALSE,0.721297088572799,0.672594508466611
671,8,8,8,FALSE,0.656797878457044,0.58772394132017
672,2,2,2,FALSE,0.751122593015861,0.698624600042885
673,4,4,4,FALSE,0.703431324178726,0.540053594196637
674,5,5,5,FALSE,0.772407737927428,0.71123826123282
675,8,8,8,FALSE,0.658459631243831,0.609886373277453
676,2,2,2,FALSE,0.687667440772255,0.629492846045432
677,4,4,4,FALSE,0.457848602088937,0.349220023964375
678,2,2,2,FALSE,0.65111832592382,0.602967424814816
679,8,8,8,FALSE,0.742458066622392,0.684492624565435
680,6,6,6,FALSE,0.222361908593252,-0.019852871481584
681,5,5,5,FALSE,0.696146216653697,0.633646237323366
682,6,6,6,FALSE,0.383119447111749,0.170979704536102
683,8,8,8,FALSE,0.743934765102549,0.685728863441506
684,8,8,8,FALSE,0.695461437559922,0.649380660326463
685,5,5,5,FALSE,0.688089837332187,0.622045773816839
686,8,8,8,FALSE,0.635779402573565,0.587833562231937
687,8,8,8,FALSE,0.724786327054991,0.671126122881087
688,8,8,8,FALSE,0.710391185929009,0.660685061529608
689,5,5,5,FALSE,0.606544765392881,0.572210394938109
690,2,2,2,FALSE,0.757084555604497,0.680759917834061
691,2,2,2,FALSE,0.647546153961708,0.597209259608667
692,2,2,2,FALSE,0.674463229458846,0.64089737088505
693,2,2,2,FALSE,-0.105127962581262,-0.0663366632381806
694,2,2,2,FALSE,0.740510541190339,0.687629918739151
695,2,2,2,FALSE,0.723651619048226,0.618125187571674
696,4,4,4,FALSE,0.691617927524227,0.549469137542871
697,4,4,4,FALSE,0.701251781730225,0.553536507591993
698,5,5,5,FALSE,0.77423705515453,0.656797886116247
699,4,4,4,FALSE,0.681217710916893,0.542992834429204
700,2,2,2,FALSE,0.718459402982296,0.645688319976052
701,3,3,3,FALSE,0.431825907566992,0.221233537415884
