"id","cluster_C2","UREH_predicha","funcion","condicion"
271,10,"aporte_conservada","aporte","conservada"
272,5,"transferencia_degradada","transferencia","degradada"
273,4,"aporte_conservada","aporte","conservada"
274,8,"transferencia_degradada","transferencia","degradada"
275,2,"transferencia_conservada","transferencia","conservada"
276,4,"transferencia_conservada","transferencia","conservada"
277,5,"transferencia_degradada","transferencia","degradada"
278,12,"receptora_conservada","recepcion","conservada"
279,2,"transferencia_conservada","transferencia","conservada"
280,4,"transferencia_conservada","transferencia","conservada"
281,4,"aporte_conservada","aporte","conservada"
282,2,"aporte_conservada","aporte","conservada"
283,4,"transferencia_conservada","transferencia","conservada"
284,5,"aporte_degradada","aporte","degradada"
285,2,"transferencia_conservada","transferencia","conservada"
286,5,"aporte_degradada","aporte","degradada"
287,4,"transferencia_conservada","transferencia","conservada"
288,4,"transferencia_conservada","transferencia","conservada"
289,10,"aporte_conservada","aporte","conservada"
290,5,"transferencia_degradada","transferencia","degradada"
