"id","Esc_sum","Esc_cat","escorrentia","ev_esc_baja","ev_esc_media","ev_esc_alta","suma_evidencia","ev_esc_baja_aj","ev_esc_media_aj","ev_esc_alta_aj","suma_evidencia_aj"
805,187504.4480896,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
806,194793.972595215,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
807,153251.594238281,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
808,360943.814910889,"Baja","esc_baja",0.515452289028423,0.484547710971577,0,1,0.488134445674159,0.461865554325841,0.05,1
809,217452.551208496,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
810,1086319.35189819,"Alta","esc_alta",0,0,1,1,0.05,0.05,0.9,1
811,198590.58895874,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
812,468443.814331055,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
813,718690.349029541,"Media","esc_media",0,0.875513216651815,0.124486783348185,1,0.05,0.794186234154043,0.155813765845957,1
814,1208126.04443359,"Alta","esc_alta",0,0,1,1,0.05,0.05,0.9,1
815,468972.682128906,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
816,439552.675842285,"Media","esc_media",0.0851220180418075,0.914877981958192,0,1,0.122353715335536,0.827646284664464,0.05,1
817,478237.645629883,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
818,428163.310150146,"Media","esc_media",0.147471081068445,0.852528918931555,0,1,0.175350418908179,0.774649581091821,0.05,1
819,0,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
820,0,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
821,0,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
822,472165.688537598,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
823,104010.841674805,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
824,1017964.01611328,"Alta","esc_alta",0,0.0109402340206615,0.989059765979338,1,0.05,0.0592991989175623,0.890700801082438,1
825,371892.504608154,"Baja","esc_baja",0.455515628599208,0.544484371400792,0,1,0.437188284309327,0.512811715690673,0.05,1
826,307825.648040771,"Baja","esc_baja",0.806238275146186,0.193761724853814,0,1,0.735302533874258,0.214697466125742,0.05,1
827,507111.23236084,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
828,97217.1430053711,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
829,1310160.09960938,"Alta","esc_alta",0,0,1,1,0.05,0.05,0.9,1
830,153929.490478516,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
831,159500.889389038,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
832,0,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
833,0,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
834,141846.088897705,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
835,0,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
836,58773.3435173035,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
837,50662.5602531433,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
838,1603.5777875231,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
839,40398.8131780028,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
840,38019.4006640911,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
841,886119.743713379,"Media","esc_media",0,0.391825719009629,0.608174280990371,1,0.05,0.383051861158184,0.566948138841816,1
842,723718.9012146,"Media","esc_media",0,0.860986210639835,0.139013789360165,1,0.05,0.781838279043859,0.168161720956141,1
843,27697.0098876953,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
844,713353.217376709,"Media","esc_media",0,0.890931679214019,0.109068320785981,1,0.05,0.807291927331916,0.142708072668084,1
845,17117.3795471191,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
846,247012.196281433,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
847,447133.642272949,"Media","esc_media",0.0436213615026524,0.956378638497348,0,1,0.0870781572772545,0.862921842722746,0.05,1
848,78373.3203277588,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
849,214330.526977539,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
850,1265737.20899963,"Alta","esc_alta",0,0,1,1,0.05,0.05,0.9,1
851,241224.633270264,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
852,59792.2327880859,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
853,14901.1076574326,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
854,192462.719482422,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
855,25463.3902635574,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
856,1258.06854605675,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
857,4172.56612285972,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
858,238909.143878937,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
859,50026.0199775696,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
860,78821.773021698,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
861,456255.785009384,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
862,125705.62338829,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
